naam,latitude,longitude,provincie,honden_toegestaan,stroom,waterfront,aantal_plekken,prijs,website,telefoon,openingstijden,afbeelding
Beekse Bergen,51.528243,5.1247698,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Bergumermeer,53.191389,6.024722,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.bergumermeer.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Betuwestrand,51.8984215,5.1838575,Gelderland,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Callassande Roompot,52.8563506,4.7171451,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.roompot.nl/bestemmingen/nederland/noord-holland/vakantiepark-callassande,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Krim,53.1522373,4.8586531,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.krim.nl,+31 222 390 112,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
De Paal,51.3361871,5.3554839,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.depaal.nl/,+31 497 571 977,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Ardoer camping Duinoord,51.6723899,3.7064478,Zeeland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://duinoord.ardoer.com/nl/kamperen,+31 111 658 888,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
It Wiid,53.1267511,5.9455177,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.wiid.nl/,+31 511 539 223,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Latour,51.4964026,5.3199301,North Brabant,Onbekend,Nee,Nee,Onbekend,Onbekend,,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Siblu Camping Lauwersoog,53.4038462,6.2115864,Friesland,Onbekend,Nee,Nee,Onbekend,Betaald,https://siblu.nl/camping/nederland/waddenzee/lauwersoog,+31 519 349 133,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Molenhoek,51.5781299,3.6980029,Zeeland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.demolenhoek.com,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Molengroet,52.694722,4.771111,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.europarcs.nl/vakantieparken/nederland/noord-holland/molengroet,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
RCN de Potten,53.0308971,5.7257319,Friesland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.villaparksneekermeer.nl/nl/villapark/friesland/villapark-sneekermeer,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Roompot,51.5901281,3.7205546,Zeeland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.roompot.be/,+31 113 374 000,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Bergsehaak,52.1396557,6.7251638,Overijssel,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.poelmanvakantieparken.nl/bergsehaak,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
Tempelhof,52.846111,4.715278,North Holland,Onbekend,Nee,Nee,Onbekend,Onbekend,https://www.tempelhof.nl,,Onbekend,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?auto=format&fit=crop&w=300&q=80
